datetime,call_count
2023-02-28,398
2023-03-31,466
2023-04-30,450
2023-05-31,457
2023-06-30,439
2023-07-31,440
2023-08-31,471
2023-09-30,442
2023-10-31,493
2023-11-30,434
2023-12-31,448
2024-01-31,484
2024-02-29,421
2024-03-31,443
2024-04-30,438
2024-05-31,441
2024-06-30,461
2024-07-31,476
2024-08-31,496
2024-09-30,467
2024-10-31,452
2024-11-30,447
2024-12-31,484
2025-01-31,466
2025-02-28,396
2025-03-31,428
2025-04-30,440
2025-05-31,432
2025-06-30,430
2025-07-31,381
2025-08-31,451
2025-09-30,431
2025-10-31,435
