datetime,call_count
2023-02-28,391
2023-03-31,487
2023-04-30,428
2023-05-31,461
2023-06-30,442
2023-07-31,413
2023-08-31,476
2023-09-30,479
2023-10-31,456
2023-11-30,457
2023-12-31,471
2024-01-31,424
2024-02-29,435
2024-03-31,467
2024-04-30,438
2024-05-31,472
2024-06-30,463
2024-07-31,451
2024-08-31,438
2024-09-30,472
2024-10-31,442
2024-11-30,483
2024-12-31,459
2025-01-31,475
2025-02-28,374
2025-03-31,453
2025-04-30,457
2025-05-31,447
2025-06-30,419
2025-07-31,410
2025-08-31,459
2025-09-30,406
2025-10-31,422
