datetime,call_count
2023-02-28,379
2023-03-31,461
2023-04-30,427
2023-05-31,471
2023-06-30,473
2023-07-31,440
2023-08-31,454
2023-09-30,435
2023-10-31,454
2023-11-30,437
2023-12-31,473
2024-01-31,463
2024-02-29,419
2024-03-31,482
2024-04-30,481
2024-05-31,479
2024-06-30,436
2024-07-31,491
2024-08-31,464
2024-09-30,461
2024-10-31,457
2024-11-30,449
2024-12-31,481
2025-01-31,479
2025-02-28,382
2025-03-31,395
2025-04-30,394
2025-05-31,398
2025-06-30,395
2025-07-31,407
2025-08-31,443
2025-09-30,413
2025-10-31,402
