datetime,call_count
2023-02-05,62
2023-02-12,105
2023-02-19,119
2023-02-26,98
2023-03-05,130
2023-03-12,117
2023-03-19,93
2023-03-26,81
2023-04-02,97
2023-04-09,105
2023-04-16,100
2023-04-23,93
2023-04-30,101
2023-05-07,104
2023-05-14,108
2023-05-21,110
2023-05-28,93
2023-06-04,110
2023-06-11,102
2023-06-18,116
2023-06-25,102
2023-07-02,81
2023-07-09,114
2023-07-16,104
2023-07-23,110
2023-07-30,109
2023-08-06,119
2023-08-13,108
2023-08-20,107
2023-08-27,118
2023-09-03,105
2023-09-10,87
2023-09-17,89
2023-09-24,127
2023-10-01,94
2023-10-08,98
2023-10-15,119
2023-10-22,91
2023-10-29,94
2023-11-05,101
2023-11-12,99
2023-11-19,122
2023-11-26,110
2023-12-03,110
2023-12-10,101
2023-12-17,97
2023-12-24,99
2023-12-31,108
2024-01-07,97
2024-01-14,100
2024-01-21,112
2024-01-28,111
2024-02-04,100
2024-02-11,101
2024-02-18,116
2024-02-25,93
2024-03-03,107
2024-03-10,100
2024-03-17,116
2024-03-24,115
2024-03-31,94
2024-04-07,113
2024-04-14,120
2024-04-21,108
2024-04-28,99
2024-05-05,113
2024-05-12,105
2024-05-19,110
2024-05-26,98
2024-06-02,93
2024-06-09,109
2024-06-16,113
2024-06-23,117
2024-06-30,98
2024-07-07,108
2024-07-14,109
2024-07-21,95
2024-07-28,92
2024-08-04,102
2024-08-11,112
2024-08-18,90
2024-08-25,92
2024-09-01,112
2024-09-08,104
2024-09-15,93
2024-09-22,100
2024-09-29,118
2024-10-06,101
2024-10-13,110
2024-10-20,121
2024-10-27,96
2024-11-03,107
2024-11-10,119
2024-11-17,105
2024-11-24,96
2024-12-01,109
2024-12-08,87
2024-12-15,101
2024-12-22,111
2024-12-29,101
2025-01-05,109
2025-01-12,99
2025-01-19,109
2025-01-26,94
2025-02-02,87
2025-02-09,98
2025-02-16,92
2025-02-23,84
2025-03-02,91
2025-03-09,110
2025-03-16,93
2025-03-23,95
2025-03-30,104
2025-04-06,95
2025-04-13,108
2025-04-20,82
2025-04-27,80
2025-05-04,95
2025-05-11,88
2025-05-18,93
2025-05-25,102
2025-06-01,92
2025-06-08,101
2025-06-15,99
2025-06-22,88
2025-06-29,79
2025-07-06,90
2025-07-13,118
2025-07-20,83
2025-07-27,94
2025-08-03,94
2025-08-10,96
2025-08-17,93
2025-08-24,94
2025-08-31,97
2025-09-07,95
2025-09-14,96
2025-09-21,110
2025-09-28,98
2025-10-05,92
2025-10-12,110
2025-10-19,104
2025-10-26,91
2025-11-02,111
2025-11-09,84
2025-11-16,111
