datetime,call_count
2023-02-28,415
2023-03-31,466
2023-04-30,420
2023-05-31,447
2023-06-30,449
2023-07-31,485
2023-08-31,491
2023-09-30,430
2023-10-31,455
2023-11-30,453
2023-12-31,456
2024-01-31,458
2024-02-29,429
2024-03-31,475
2024-04-30,470
2024-05-31,456
2024-06-30,470
2024-07-31,440
2024-08-31,456
2024-09-30,444
2024-10-31,470
2024-11-30,466
2024-12-31,443
2025-01-31,451
2025-02-28,357
2025-03-31,441
2025-04-30,394
2025-05-31,421
2025-06-30,387
2025-07-31,430
2025-08-31,417
2025-09-30,418
2025-10-31,461
