Time of Call,API Code,App Name,call_count
2023-02-28,A42,Instagram,398
2023-03-31,A42,Freshdesk,475
2023-04-30,A42,YouTube,434
2023-05-31,A42,PayPal,467
2023-06-30,A42,AWS,448
2023-07-31,A42,Amazon,478
2023-08-31,A42,Confluence,449
2023-09-30,A42,Ola,453
2023-10-31,A42,YouTube,520
2023-11-30,A42,Google,420
2023-12-31,A42,Amazon Pay,469
2024-01-31,A42,Salesforce,465
2024-02-29,A42,Uber,434
2024-03-31,A42,YouTube,467
2024-04-30,A42,Paytm,468
2024-05-31,A42,Facebook,445
2024-06-30,A42,WhatsApp,425
2024-07-31,A42,Zoho,509
2024-08-31,A42,AWS,442
2024-09-30,A42,Ola,439
2024-10-31,A42,YouTube,498
2024-11-30,A42,Uber,451
2024-12-31,A42,Razorpay,475
2025-01-31,A42,PhonePe,470
2025-02-28,A42,Netflix,370
2025-03-31,A42,Netflix,440
2025-04-30,A42,WhatsApp,462
2025-05-31,A42,Microsoft Azure,392
2025-06-30,A42,Microsoft Teams,390
2025-07-31,A42,Stripe,465
2025-08-31,A42,Instagram,420
2025-09-30,A42,Paytm,394
2025-10-31,A42,Microsoft Teams,416
2025-11-30,A42,Google Cloud,253
