datetime,call_count
2023-02-28,371
2023-03-31,437
2023-04-30,460
2023-05-31,472
2023-06-30,432
2023-07-31,479
2023-08-31,435
2023-09-30,458
2023-10-31,487
2023-11-30,447
2023-12-31,480
2024-01-31,473
2024-02-29,421
2024-03-31,458
2024-04-30,419
2024-05-31,463
2024-06-30,449
2024-07-31,444
2024-08-31,437
2024-09-30,484
2024-10-31,463
2024-11-30,436
2024-12-31,486
2025-01-31,471
2025-02-28,370
2025-03-31,469
2025-04-30,455
2025-05-31,450
2025-06-30,380
2025-07-31,443
2025-08-31,405
2025-09-30,409
2025-10-31,452
