datetime,call_count
2023-02-28,450
2023-03-31,451
2023-04-30,435
2023-05-31,458
2023-06-30,456
2023-07-31,421
2023-08-31,447
2023-09-30,437
2023-10-31,455
2023-11-30,429
2023-12-31,441
2024-01-31,472
2024-02-29,441
2024-03-31,519
2024-04-30,478
2024-05-31,445
2024-06-30,442
2024-07-31,458
2024-08-31,411
2024-09-30,415
2024-10-31,465
2024-11-30,460
2024-12-31,461
2025-01-31,481
2025-02-28,437
2025-03-31,450
2025-04-30,405
2025-05-31,409
2025-06-30,429
2025-07-31,441
2025-08-31,414
2025-09-30,362
2025-10-31,426
