datetime,call_count
2023-02-28,407
2023-03-31,466
2023-04-30,441
2023-05-31,496
2023-06-30,468
2023-07-31,440
2023-08-31,490
2023-09-30,460
2023-10-31,435
2023-11-30,455
2023-12-31,499
2024-01-31,443
2024-02-29,420
2024-03-31,469
2024-04-30,420
2024-05-31,495
2024-06-30,446
2024-07-31,507
2024-08-31,482
2024-09-30,468
2024-10-31,460
2024-11-30,481
2024-12-31,475
2025-01-31,475
2025-02-28,395
2025-03-31,439
2025-04-30,456
2025-05-31,388
2025-06-30,392
2025-07-31,403
2025-08-31,414
2025-09-30,394
2025-10-31,456
